地域,得票数,得票率,合計
北九州市門司区,2410,5.9,41057
北九州市小倉北区,5400,7.3,74253
北九州市小倉南区,5310,6.1,87604
北九州市若松区,2052,6.0,34195
北九州市八幡東区,2039,7.2,28513
北九州市八幡西区,7089,6.6,107539
北九州市戸畑区,1766,7.0,25221
福岡市東区,11691,8.4,138760
福岡市博多区,8658,8.9,97802
福岡市中央区,10361,10.9,95164
福岡市南区,10373,8.7,119308
福岡市城南区,5135,8.6,59916
福岡市早良区,9537,9.4,101758
福岡市西区,8429,8.9,94718
大牟田市,2431,5.3,45493
久留米市,8814,7.3,120777
直方市,1200,5.3,22696
飯塚市,3062,5.7,54175
田川市,771,3.8,20159
柳川市,1443,5.3,27404
八女市,1390,5.1,27027
筑後市,1276,6.1,21022
大川市,689,5.0,13907
行橋市,1553,4.5,34268
豊前市,542,4.5,11974
中間市,853,5.5,15395
小郡市,2142,7.6,28035
筑紫野市,4173,8.2,51163
春日市,4520,8.6,52605
大野城市,4040,8.3,48622
宗像市,3431,7.3,47322
太宰府市,2629,7.8,33586
古賀市,1872,7.0,26851
福津市,2418,7.6,31986
うきは市,601,5.0,12122
宮若市,535,4.7,11348
嘉麻市,606,4.1,14674
朝倉市,1137,4.8,23655
みやま市,824,5.2,15873
糸島市,3485,7.4,46816
那珂川市,1510,7.0,21506
宇美町,894,5.9,15266
篠栗町,987,7.1,13965
志免町,1371,7.4,18515
須恵町,723,6.4,11345
新宮町,1288,8.6,14965
久山町,236,5.6,4200
粕屋町,1509,7.6,19763
芦屋町,258,4.5,5684
水巻町,626,5.7,11067
岡垣町,897,6.2,14471
遠賀町,497,5.9,8494
小竹町,157,4.8,3256
鞍手町,338,4.9,6838
桂川町,268,4.7,5645
筑前町,782,5.7,13807
東峰村,44,4.4,1009
大刀洗町,393,6.0,6501
大木町,309,5.2,5900
広川町,446,5.3,8418
香春町,176,3.5,5091
添田町,141,3.3,4278
糸田町,115,3.0,3883
川崎町,174,2.7,6421
大任町,58,2.3,2555
赤村,70,4.8,1466
福智町,308,3.2,9587
苅田町,754,4.9,15341
みやこ町,378,4.1,9155
吉富町,136,4.5,3009
上毛町,183,4.7,3864
築上町,331,4.1,8157
