地域,配布枚数,エリア数,得票率,得票数
北九州市門司区,0,0,5.9,2410
北九州市小倉北区,100,0,7.3,5400
北九州市小倉南区,0,0,6.1,5310
北九州市若松区,0,0,6.0,2052
北九州市八幡東区,0,0,7.2,2039
北九州市八幡西区,0,0,6.6,7089
北九州市戸畑区,1090,0,7.0,1766
福岡市東区,8867,0,8.4,11691
福岡市博多区,6701,0,8.9,8658
福岡市中央区,22847,0,10.9,10361
福岡市南区,5071,0,8.7,10373
福岡市城南区,3850,0,8.6,5135
福岡市早良区,21494,0,9.4,9537
福岡市西区,8933,0,8.9,8429
大牟田市,222,0,5.3,2431
久留米市,580,0,7.3,8814
直方市,457,0,5.3,1200
飯塚市,535,0,5.7,3062
田川市,0,0,3.8,771
柳川市,690,0,5.3,1443
八女市,0,0,5.1,1390
筑後市,0,0,6.1,1276
大川市,0,0,5.0,689
行橋市,1754,0,4.5,1553
豊前市,0,0,4.5,542
中間市,0,0,5.5,853
小郡市,0,0,7.6,2142
筑紫野市,0,0,8.2,4173
春日市,0,0,8.6,4520
大野城市,2130,0,8.3,4040
宗像市,300,0,7.3,3431
太宰府市,0,0,7.8,2629
古賀市,0,0,7.0,1872
福津市,0,0,7.6,2418
うきは市,0,0,5.0,601
宮若市,0,0,4.7,535
嘉麻市,0,0,4.1,606
朝倉市,0,0,4.8,1137
みやま市,0,0,5.2,824
糸島市,0,0,7.4,3485
那珂川市,0,0,7.0,1510
宇美町,0,0,5.9,894
篠栗町,0,0,7.1,987
志免町,0,0,7.4,1371
須恵町,400,0,6.4,723
新宮町,100,0,8.6,1288
久山町,0,0,5.6,236
粕屋町,0,0,7.6,1509
芦屋町,0,0,4.5,258
水巻町,0,0,5.7,626
岡垣町,0,0,6.2,897
遠賀町,0,0,5.9,497
小竹町,1020,0,4.8,157
鞍手町,0,0,4.9,338
桂川町,0,0,4.7,268
筑前町,1231,0,5.7,782
東峰村,0,0,4.4,44
大刀洗町,0,0,6.0,393
大木町,0,0,5.2,309
広川町,0,0,5.3,446
香春町,0,0,3.5,176
添田町,0,0,3.3,141
糸田町,0,0,3.0,115
川崎町,0,0,2.7,174
大任町,0,0,2.3,58
赤村,0,0,4.8,70
福智町,0,0,3.2,308
苅田町,3,0,4.9,754
みやこ町,0,0,4.1,378
吉富町,0,0,4.5,136
上毛町,0,0,4.7,183
築上町,600,0,4.1,331
